id,title,original_language,overview,popularity,vote_average,vote_count,age,genero_ação,genero_aventura,genero_animação,genero_comédia,genero_crime,genero_documentário,genero_drama,genero_família,genero_fantasia,genero_história,genero_terror,genero_música,genero_mistério,genero_romance,genero_ficção_científica,genero_cinema_tv,genero_thriller,genero_guerra,genero_faroeste,num_genres
980431,Avatar Aang: O Último Mestre do Ar,en,"O Avatar Aang, o último mestre do ar do mundo, toma conhecimento de um poder antigo que poderia salvar sua cultura da extinção. Com a ajuda de seus amigos, ele embarca em uma busca global para encontrá-lo antes que caia em mãos erradas e ameace destruir a paz que eles sacrificaram tudo para alcançar.",2.5129857034061374,9.146,-0.7986226185963836,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
1007757,Como Mágica,en,Uma pequena criatura da floresta e um pássaro majestoso trocam de corpo e precisam se unir para sobreviver à aventura mais incrível de suas vidas.,0.6015216821867491,8.867,-0.6959331624314642,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4
1632181,Socias por accidente,es,,-0.25601551042204357,8.859,-0.8682019230071936,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
1621552,A Captura,es,Dois policiais mexicanos precisam sobreviver às últimas horas de seu turno após cruzarem o caminho de um chefe de cartel implacável.,4.234266679233887,8.8,-0.8452647454152162,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
1311031,Demon Slayer: Kimetsu no Yaiba Castelo Infinito,ja,"Enquanto os membros dos caçadores e os Hashira participavam de um rigoroso programa de fortalecimento coletivo, conhecido como Treinamento dos Hashira, em preparação para a batalha final contra os demônios, Muzan Kibutsuji aparece na Mansão Ubuyashiki. Com a vida do líder da organização em risco, Tanjiro e os Hashira correm até o quartel-general, mas acabam sendo lançados, pelas mãos de Muzan, em uma queda profunda rumo a um espaço misterioso para um confronto final, o Castelo Infinito.",1.6070621893456136,8.786,-0.7014995067843289,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
278,Um Sonho de Liberdade,en,"Em 1946, Andy Dufresne, um banqueiro jovem e bem sucedido, tem a sua vida radicalmente modificada ao ser condenado por um crime que nunca cometeu, o homicídio de sua esposa e do amante dela. Ele é mandado para uma prisão que é o pesadelo de qualquer detento, a Penitenciária Estadual de Shawshank, no Maine. Lá ele irá cumprir a pena perpétua. Andy logo será apresentado a Warden Norton, o corrupto e cruel agente penitenciário, que usa a Bíblia como arma de controle e ao Capitão Byron Hadley que trata os internos como animais. Andy faz amizade com Ellis Boyd Redding, um prisioneiro que cumpre pena há 20 anos e controla o mercado negro da instituição.",2.1111433525454464,8.73,2.099715303067698,32,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
238,O Poderoso Chefão,en,"Em 1945, Don Corleone é o chefe de uma mafiosa família italiana de Nova York. Ele costuma apadrinhar várias pessoas, realizando importantes favores para elas, em troca de favores futuros. Com a chegada das drogas, as famílias começam uma disputa pelo promissor mercado. Quando Corleone se recusa a facilitar a entrada dos narcóticos na cidade, não oferecendo ajuda política e policial, sua família começa a sofrer atentados para que mudem de posição. É nessa complicada época que Michael, um herói de guerra nunca envolvido nos negócios da família, vê a necessidade de proteger o seu pai e tudo o que ele construiu ao longo dos anos.",1.1753440463953182,8.686,1.3538251597838158,54,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
936075,Michael,en,"A história da vida de Michael Jackson além da música, traçando sua jornada desde a descoberta de seu talento extraordinário como líder dos Jackson Five até o artista visionário cuja ambição criativa impulsionou uma busca implacável para se tornar o maior artista do mundo.",1.1938586217747915,8.644,-0.4908421644647045,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2
687163,Devoradores de Estrelas,en,"O professor de ciências Ryland Grace acorda em uma espaçonave a anos-luz de casa, sem nenhuma lembrança de quem é ou como chegou ali. À medida que sua memória retorna, ele começa a descobrir sua missão: resolver o enigma de uma substância misteriosa que está fazendo o Sol morrer. Ele precisará recorrer ao seu conhecimento científico e a ideias nada convencionais para salvar tudo na Terra da extinção… mas uma amizade inesperada pode significar que ele não terá que fazer isso sozinho.",2.6854593308703385,8.6,-0.16645864872879074,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
240,O Poderoso Chefão: Parte II,en,"Após a máfia matar sua família, o jovem Vito foge da sua cidade na Sicília e vai para a América. Vito luta para manter sua família. Ele mata Black Hand Fanucci, que exigia dos comerciantes uma parte dos seus ganhos. Com a morte de Fanucci, o poderio de Vito cresce, mas sua família é o que mais importa para ele. Agora baseado no Lago Tahoe, Michael planeja fazer incursões em Las Vegas e Havana instalando negócios ligados ao lazer, mas descobre que aliados como Hyman Roth estão tentando matá-lo.",0.13800588890706503,8.6,0.46896835058703323,52,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
389,12 Homens e uma Sentença,en,"Um jovem porto-riquenho é acusado do brutal crime de ter matado o próprio pai. Quando ele vai a julgamento, doze jurados se reúnem para decidir a sentença, levando em conta que o réu deve ser considerado inocente até que se prove o contrário. Onze dos jurados têm plena certeza de que ele é culpado, e votam pela condenação, mas um jurado acha que é melhor investigar mais para que a sentença seja correta. Para isso ele terá que enfrentar diferentes interpretações dos fatos, e a má vontade dos outros jurados, que só querem ir logo para suas casas.",0.14128720897541133,8.6,0.08882541986811181,69,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
424,A Lista de Schindler,en,"O alemão Oskar Schindler viu na mão de obra judia uma solução barata e viável para lucrar com negócios durante a guerra. Com sua forte influência dentro do partido nazista, foi fácil conseguir as autorizações e abrir uma fábrica. O que poderia parecer uma atitude de um homem não muito bondoso, transformou-se em um dos maiores casos de amor à vida da História, pois este alemão abdicou de toda sua fortuna para salvar a vida de mais de mil judeus em plena luta contra o extermínio alemão.",0.44042140948471964,8.57,0.8124501857405348,33,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,3
1232449,Corações Jovens,nl,"Elias desenvolve sentimentos por seu novo vizinho Alexander. Ele logo percebe que está se apaixonando pela primeira vez. As interações com seus amigos e familiares trazem mais perguntas do que respostas. Confuso com seus sentimentos, Elias tenta resolver seu caos interior para provar que merece o coração de Alexander.",-0.3922975127181094,8.566,-0.874632010449296,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2
1218925,Chainsaw Man – O Filme: Arco da Reze,ja,"Denji trabalhava como Caçador de Demônios para a yakuza, tentando pagar a dívida que herdou de seus pais, até que um dia, ele é traído e morre. Em seus últimos momentos de consciência, ele forma um pacto com Pochita e essa fusão cria o Homem-Motosserra. Agora, em uma guerra brutal contra demônios, caçadores e inimigos secretos, uma garota misteriosa chamada Reze entrou em seu universo e Denji precisa enfrentar sua batalha mais perigosa até hoje, movido pelo amor em um mundo onde a sobrevivência não conhece regras.",0.136618104957074,8.546,-0.7918086453368423,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4
155,Batman: O Cavaleiro das Trevas,en,"Após dois anos desde o surgimento do Batman, os criminosos de Gotham City têm muito o que temer. Com a ajuda do tenente James Gordon e do promotor público Harvey Dent, Batman luta contra o crime organizado. Acuados com o combate, os chefes do crime aceitam a proposta feita pelo Coringa e o contratam para combater o Homem-Morcego.",1.0549305241338447,8.535,2.61498604152513,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
129,A Viagem de Chihiro,ja,"Chihiro e seus pais estão se mudando para uma cidade diferente. A caminho da nova casa, o pai decide pegar um atalho. Eles se deparam com uma mesa repleta de comida, embora ninguém esteja por perto. Chihiro sente o perigo, mas seus pais começam a comer. Quando anoitece, eles se transformam em porcos. Agora, apenas Chihiro pode salvá-los.",0.39775211054417664,8.534,0.9069820682848765,25,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3
497,À Espera de um Milagre,en,"Milagres acontecem em lugares inesperados, mesmo no bloco de celas para o corredor da morte na Penitenciária Cold Mountain. Lá, John Coffey, um gentil e gigante prisioneiro com poderes sobrenaturais, traz um senso de espírito e humanidade aos seus guardas e colegas de cela.",0.4177353902205794,8.506,0.9946040061153172,27,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3
122,O Senhor dos Anéis: O Retorno do Rei,en,"O confronto final entre as forças do bem e do mal que lutam pelo controle do futuro da Terra-Média se aproxima. Sauron planeja um grande ataque a Minas Tirith, capital de Gondor, o que faz com que Gandalf e Pippin partam para o local na intenção de ajudar a resistência. Um exército é reunido por Théoden em Rohan, em mais uma tentativa de deter as forças de Sauron. Enquanto isso, Frodo, Sam e Gollum seguem sua viagem rumo à Montanha da Perdição para destruir o Um Anel.",0.64711625166911,8.505,1.7180368290790207,23,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
19404,Dilwale vai levar a noiva,hi,"Raj e Simran são dois jovens indianos vivendo em Londres que, acidentalmente, se conhecem durante uma viagem pela Europa. Eles se apaixonam, mas Simran está prometida a um indiano. Raj não desanima e segue seu amor até a Índia, onde os dois tentam convencer a todos que precisam ficar juntos.",-0.34432793105311055,8.5,-0.46099504215882603,31,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3
769,Os Bons Companheiros,en,"A história real de Henry Hill, um garoto meio irlandês e meio siciliano do Brooklyn que é adotado por gangsters do bairro ainda jovem e sobe na hierarquia de uma família da máfia sob a orientação de Jimmy Conway.",-0.041026332676482063,8.5,0.5097562186899218,36,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
14537,Harakiri,ja,"No século 18, o Japão não está mais em guerra e o país é governado com firmeza. Hanshiro Tsugumo, um dos muitos ronin (samurais errantes) desempregados, decide bater à porta do poderoso clã Ii. Recebido por Kageyu Saito, o intendente do clã, ele pede permissão para cometer suicídio por harakiri na residência. Tentando dissuadi-lo, Saito começa a lhe contar a história de Motome Chijiwa, outro ronin que também queria realizar o mesmo ritual no local.",-0.6004003689392253,8.5,-0.7821155284465087,64,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3
346,Os Sete Samurais,ja,"Um bando de bandidos aterroriza os habitantes de uma pequena cidade, saqueando-os periodicamente sem piedade. Para repelir estes ataques, os aldeões decidem contratar mercenários. Por fim, obtêm os serviços de 7 guerreiros, 7 samurais dispostos a defendê-los em troca apenas de abrigo e comida.",-0.48633909391240493,8.5,-0.48585164883799814,72,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
496243,Parasita,ko,"Toda a família de Ki-taek está desempregada, vivendo num porão sujo e apertado. Uma obra do acaso faz com que o filho adolescente da família comece a dar aulas de inglês à garota de uma família rica. Fascinados com a vida luxuosa destas pessoas, pai, mãe, filho e filha bolam um plano para se infiltrarem também na família glamorosa, um a um. No entanto, os segredos e mentiras necessários à ascensão social custarão caro a todos.",0.43395182774700597,8.49,1.1378893874744056,7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3
157336,Interestelar,en,"As reservas naturais da Terra estão chegando ao fim e um grupo de astronautas recebe a missão de verificar possíveis planetas para receberem a população mundial, possibilitando a continuação da espécie. Cooper é chamado para liderar o grupo e aceita a missão sabendo que pode nunca mais ver os filhos. Ao lado de Brand, Jenkins e Doyle, ele seguirá em busca de um novo lar.",1.3558328342237536,8.487,3.0416751276085243,12,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3
372058,Your Name.,ja,"Mitsuha é a filha do prefeito de uma pequena cidade, mas sonha em tentar a sorte em Tóquio. Taki trabalha em um restaurante em Tóquio e deseja largar o seu emprego. Os dois não se conhecem, mas estão conectados pelas imagens de seus sonhos.",-0.05348806610497366,8.486,0.34055854465370405,10,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3
680,Pulp Fiction: Tempo de Violência,en,"Vincent Vega e Jules Winnfield são dois assassinos profissionais que trabalham fazendo cobranças para Marsellus Wallace, um poderosos gângster. Vega é forçado a sair com a garota do chefe, temendo passar dos limites. Enquanto isso, o pugilista Butch Coolidge se mete em apuros por ganhar uma luta que deveria perder.",0.4616710925907059,8.48,2.0555684340622187,32,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
429,Três Homens em Conflito,it,"Durante o auge da Guerra Civil, um misterioso pistoleiro vaga pela fronteira do oeste. Ele não possui um lar, lealdade ou companhia... Até que encontra dois estrangeiros, que são tão brutos e desapegados quanto ele. Unidos pelo destino, os três homens juntam suas forças para tentar encontrar uma fortuna em ouro roubado. Mas trabalho em equipe não é uma coisa natural para voluntariosos pistoleiros, e eles logo descobrem que seu maior desafio é concentrar-se em sua perigosa missão — e em manterem-se vivos — atravessando um país arrasado pela guerra.",-0.055697191576387965,8.467,0.04870935194574141,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
13,Forrest Gump: O Contador de Histórias,en,"Quarenta anos da história dos Estados Unidos, vistos pelos olhos de Forrest Gump, um rapaz com QI abaixo da média e com boas intenções. Por obra do acaso, ele consegue participar de momentos cruciais, como a Guerra do Vietnã e o Caso Watergate, mas continua pensando no seu amor de infância, Jenny Curran.",0.35939182007809595,8.462,2.016220137774726,32,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3
1181678,¿Quieres ser mi hijo?,en,,-0.7739461910003586,8.447,-0.8688737231877117,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
120,O Senhor dos Anéis: A Sociedade do Anel,en,"Após herdar um anel de seu tio, o hobbit Frodo participa da missão de salvar a Terra-Média do perverso Sauron. Ele precisa conduzir o Um Anel até a Montanha da Perdição e destruí-lo para sempre e, para isso, conta com a aliança de oito bravos companheiros contando com um mago, três hobbits, um elfo, um anão e dois homens.",0.5143016862393485,8.445,1.8140082834387585,25,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
637,A Vida é Bela,it,"Durante a Segunda Guerra Mundial na Itália, o judeu Guido e seu filho Giosué são levados para um campo de concentração nazista. Afastado da mulher, ele tem que usar sua imaginação para fazer o menino acreditar que estão participando de uma grande brincadeira, com o intuito de protegê-lo do terror e da violência que os cercam.",-0.18525066702453774,8.437,0.461002719875175,29,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
550,Clube da Luta,en,Um homem deprimido que sofre de insônia conhece um estranho vendedor de sabonetes chamado Tyler Durden. Eles formam um clube clandestino com regras rígidas onde lutam com outros homens cansados de suas vidas mundanas. Mas sua parceria perfeita é comprometida quando Marla chama a atenção de Tyler.,0.502580373985342,8.437,2.2466475996924564,27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2
598,Cidade de Deus,pt,"Buscapé é um jovem morador da Cidade de Deus que cresce em meio à violência. Com medo de se tornar um bandido, enxerga na fotografia uma oportunidade de ter uma vida digna.",-0.19567320771018526,8.427,-0.09495991523078608,24,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
1330021,Criaturas Extraordinariamente Brilhantes,en,Uma viúva que trabalha como faxineira noturna em um aquário forma uma amizade improvável com um polvo gigante que a ajuda a desvendar o mistério do desaparecimento de seu filho décadas atrás.,-0.31685951928491923,8.422,-0.8179128809226909,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
667257,Cosas Imposibles,es,"Matilde, uma mulher na casa dos sessenta e viveu com seu marido, Porfirio, desde os 15 anos, numa relação de violência e desprezo. Miguel, seu vizinho, um jovem com tino para negócios sente pena de Matilde e pouco a pouco criarão fortes laços de amizade, o que lhes ajudará a liberar-se de de suas antigas crenças e viver a vida que sempre quiseram.",-0.8209164063806699,8.421,-0.8627315501086885,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2
510,Um Estranho no Ninho,en,"Randle Patrick McMurphy é um malandro que, após ser preso, se finge de louco para ir a um hospital psiquiátrico e assim esquivar-se a uma porção de trabalhos forçados na prisão. Lá ele começa a influenciar os outros internos e começa a sofrer oposição da cruel e sádica enfermeira Mildred Ratched. Com forte poder persuasivo, McMurphy instaura uma reviravolta na clínica, não sabendo o que isto pode lhe custar.",-0.12117389030147879,8.405,0.22232171288250707,51,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
121,O Senhor dos Anéis: As Duas Torres,en,"Após a captura de Merry e Pippin pelos orcs, a Sociedade do Anel é dissolvida. Frodo e Sam seguem sua jornada rumo à Montanha da Perdição para destruir o anel e serão obrigados a confiar no misterioso Gollum. Enquanto isso, Aragorn, o elfo e o arqueiro Legolas e o anão Gimli partem para resgatar os hobbits sequestrados e chegam ao reino de Rohan, onde o rei Théoden foi vítima de uma maldição mortal de Saruman.",0.18050525511903767,8.4,1.4514281288676691,24,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
11216,Cinema Paradiso,it,"Um diretor de cinema relembra como, em sua infância, se apaixonou pelo filmes no cinema de seu vilarejo e iniciou uma profunda amizade com o projetista.",-0.4903041909123796,8.4,-0.4275010045872775,38,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2
12477,Túmulo dos Vagalumes,ja,"Em meio aos bombardeios que devastam o Japão nos últimos meses da Segunda Guerra Mundial, dois irmãos, Seita e Setsuko, lutam para sobreviver em uma realidade marcada pela fome, pelo abandono e pela perda.",-1.0339634957997133,8.4,-0.2536967007417924,38,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3
40096,O Auto da Compadecida,pt,"As aventuras dos nordestinos João Grilo, um sertanejo pobre e mentiroso, e Chicó, o mais covarde dos homens. Ambos lutam pelo pão de cada dia e atravessam por vários episódios enganando a todos do pequeno vilarejo de Taperoá, no sertão da Paraíba. A salvação da dupla acontece com a aparição da Nossa Senhora. Adaptação da obra de Ariano Suassuna.",-0.778522236619717,8.4,-0.7850906435316606,26,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,4
539,Psicose,en,"Marion Crane é uma secretária que rouba 40 mil dólares da imobiliária onde trabalha para se casar e começar uma nova vida. Durante a fuga à carro, ela enfrenta uma forte tempestade, erra o caminho e chega em um velho hotel. O estabelecimento é administrado por um sujeito atencioso chamado Norman Bates, que nutre um forte respeito e temor por sua mãe. Marion decide passar a noite no local, sem saber o perigo que a cerca.",-0.23464444679564994,8.4,0.17452792861135766,66,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,3
620249,A Lenda de Hei,zh,"Depois que o avanço dos humanos destrói a floresta onde ele vive, um espírito felino chamado Hei embarca numa jornada para encontrar um novo lar.",-0.6203755565809341,8.4,-0.8513109470398796,7,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
324857,Homem-Aranha: No Aranhaverso,en,"Miles Morales é um jovem negro do Brooklyn que se tornou o Homem-Aranha inspirado no legado de Peter Parker, já falecido. Entretanto, ao visitar o túmulo de seu ídolo em uma noite chuvosa, ele é surpreendido com a presença do próprio Peter, vestindo o traje do herói aracnídeo sob um sobretudo. A surpresa fica ainda maior quando Miles descobre que ele veio de uma dimensão paralela, assim como outras variações do Homem-Aranha.",0.8112469913639768,8.4,0.8074596701138285,8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4
1891,Guerra nas Estrelas: O Império Contra-Ataca,en,"As forças imperais comandadas por Darth Vader lançam um ataque contra os membros da resistência, que são obrigados a fugir. Enquanto isso Luke Skywalker tenta encontrar o Mestre Yoda, que poderá ensiná-lo a dominar a ""Força"" e torná-lo um cavaleiro jedi. No entanto, Darth Vader planeja levá-lo para o lado negro da ""Força"".",-0.3989370271843934,8.4,0.9026633528386884,46,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
12493,Céu e Inferno,ja,"Em um momento crucial de sua vida financeira, Gondo, um executivo de uma empresa de calçados, recebe a notícia de que seu filho foi sequestrado, e o resgate exigido é uma quantia de dinheiro semelhante à que ele precisa para fechar um negócio importante. Gondo está disposto a pagar o resgate até perceber que os sequestradores cometeram um erro e levaram, na verdade, o filho do seu motorista. Agora ele precisa decidir se o dinheiro é mais importante do que a vida do garoto.",-0.6530633307266431,8.4,-0.790081159158367,63,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,4
244786,Whiplash: Em Busca da Perfeição,en,"Andrew sonha em ser o melhor baterista de sua geração. Ele chama a atenção do impiedoso mestre do jazz Terence Fletcher, que ultrapassa os limites e transforma seu sonho em uma obsessão, colocando em risco a saúde física e mental do jovem músico.",0.04630695175663198,8.4,0.7327938786219524,12,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,3
27205,A Origem,en,"Cobb é um ladrão habilidoso que comete espionagem corporativa infiltrando-se no subconsciente de seus alvos durante o estado de sono. Impedido de retornar para sua família, ele recebe a oportunidade de se redimir ao realizar uma tarefa aparentemente impossível: plantar uma ideia na mente do herdeiro de um império. Para realizar o crime perfeito, ele conta com a ajuda do parceiro Arthur, o discreto Eames e a arquiteta de sonhos Ariadne. Juntos, eles correm para que o inimigo não antecipe seus passos.",1.0273447778625926,8.4,2.9495425314231762,16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
378064,A Voz do Silêncio,ja,"Nishimiya Shouko é uma estudante com deficiência auditiva. Durante o ensino fundamental, após se transferir para uma nova escola, Shouko passa a ser alvo de bullying e em pouco tempo precisa se transferir. O que ela não esperava é que alguns anos depois, Ishida Shouya, um dos valentões que tanto a fez sofrer no passado surgisse de novo em sua vida com um novo propósito.",-0.471571130596173,8.396,-0.455524669260321,10,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3
255709,Esperança,ko,"A história de uma menina de 8 anos que enfrenta um estupro horrível que a danifica internamente e a afeta emocionalmente, tentando superar todos os obstáculos após o incidente com o bom apoio dos que a rodeiam.",-0.5913696582209158,8.393,-0.8166652520160144,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1383731,Vingadora,en,"Nikki é uma ex-militar que lutou nos piores campos de batalha da guerra, mas nada se compara à dor de ter sua filha sequestrada. Caçada por bandidos e policiais, ela usará cada habilidade mortal que aprendeu em combate para invadir o submundo do crime e resgatar a única coisa que importa para ela.",-0.42282471360056695,8.392,-0.8491995750439655,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
770156,Um Anjo em Nossas Vidas,en,"Quando um criminoso insensível e doente cruza o caminho de uma menina cheia de fé, uma segunda chance surge para tocar o coração durante a temporada de festas.",-0.6944379041161739,8.388,-0.8683938659159129,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2
