id,title,original_language,overview,popularity,vote_average,vote_count,age,genero_ação,genero_aventura,genero_animação,genero_comédia,genero_crime,genero_documentário,genero_drama,genero_família,genero_fantasia,genero_história,genero_terror,genero_música,genero_mistério,genero_romance,genero_ficção_científica,genero_cinema_tv,genero_thriller,genero_guerra,genero_faroeste,num_genres
1560520,Batman: A Queda do Morcego - Parte 1,en,"O Asilo Arkham foi destruído, e todos os seus detentos foram soltos em Gotham City. Enquanto corre contra o tempo para capturar alguns de seus maiores inimigos, Batman é levado ao limite de suas capacidades físicas e mentais, rumo a um confronto final contra uma nova ameaça: o homem chamado Bane!",2.0876408367434505,9.177,-0.8744284487451414,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4
980431,Avatar Aang: O Último Mestre do Ar,en,"O Avatar Aang, o último mestre do ar do mundo, toma conhecimento de um poder antigo que poderia salvar sua cultura da extinção. Com a ajuda de seus amigos, ele embarca em uma busca global para encontrá-lo antes que caia em mãos erradas e ameace destruir a paz que eles sacrificaram tudo para alcançar.",2.298454917081978,9.139,-0.7961624804782713,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
1007757,Como Mágica,en,Uma pequena criatura da floresta e um pássaro majestoso trocam de corpo e precisam se unir para sobreviver à aventura mais incrível de suas vidas.,0.42667309488896077,8.869,-0.6960280799015406,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4
1632181,Socias por accidente,es,,-0.45113555715814296,8.85,-0.8687695123140808,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
1621552,A Captura,es,Dois policiais mexicanos precisam sobreviver às últimas horas de seu turno após cruzarem o caminho de um chefe de cartel implacável.,3.364270945404862,8.81,-0.8384606324460283,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
1311031,Demon Slayer: Kimetsu no Yaiba Castelo Infinito,ja,"Enquanto os membros dos caçadores e os Hashira participavam de um rigoroso programa de fortalecimento coletivo, conhecido como Treinamento dos Hashira, em preparação para a batalha final contra os demônios, Muzan Kibutsuji aparece na Mansão Ubuyashiki. Com a vida do líder da organização em risco, Tanjiro e os Hashira correm até o quartel-general, mas acabam sendo lançados, pelas mãos de Muzan, em uma queda profunda rumo a um espaço misterioso para um confronto final, o Castelo Infinito.",1.608626568743512,8.794,-0.6996728186198506,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
278,Um Sonho de Liberdade,en,"Em 1946, Andy Dufresne, um banqueiro jovem e bem sucedido, tem a sua vida radicalmente modificada ao ser condenado por um crime que nunca cometeu, o homicídio de sua esposa e do amante dela. Ele é mandado para uma prisão que é o pesadelo de qualquer detento, a Penitenciária Estadual de Shawshank, no Maine. Lá ele irá cumprir a pena perpétua. Andy logo será apresentado a Warden Norton, o corrupto e cruel agente penitenciário, que usa a Bíblia como arma de controle e ao Capitão Byron Hadley que trata os internos como animais. Andy faz amizade com Ellis Boyd Redding, um prisioneiro que cumpre pena há 20 anos e controla o mercado negro da instituição.",1.965698259314516,8.731,2.10006200210311,32,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
238,O Poderoso Chefão,en,"Em 1945, Don Corleone é o chefe de uma mafiosa família italiana de Nova York. Ele costuma apadrinhar várias pessoas, realizando importantes favores para elas, em troca de favores futuros. Com a chegada das drogas, as famílias começam uma disputa pelo promissor mercado. Quando Corleone se recusa a facilitar a entrada dos narcóticos na cidade, não oferecendo ajuda política e policial, sua família começa a sofrer atentados para que mudem de posição. É nessa complicada época que Michael, um herói de guerra nunca envolvido nos negócios da família, vê a necessidade de proteger o seu pai e tudo o que ele construiu ao longo dos anos.",1.2065873441488402,8.687,1.3554802476230707,54,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
936075,Michael,en,"A história da vida de Michael Jackson além da música, traçando sua jornada desde a descoberta de seu talento extraordinário como líder dos Jackson Five até o artista visionário cuja ambição criativa impulsionou uma busca implacável para se tornar o maior artista do mundo.",0.9808794843723544,8.637,-0.4885657154882564,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2
687163,Devoradores de Estrelas,en,"O professor de ciências Ryland Grace acorda em uma espaçonave a anos-luz de casa, sem nenhuma lembrança de quem é ou como chegou ali. À medida que sua memória retorna, ele começa a descobrir sua missão: resolver o enigma de uma substância misteriosa que está fazendo o Sol morrer. Ele precisará recorrer ao seu conhecimento científico e a ideias nada convencionais para salvar tudo na Terra da extinção… mas uma amizade inesperada pode significar que ele não terá que fazer isso sozinho.",2.5728315175614673,8.6,-0.15794954806680914,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
1232449,Corações Jovens,nl,"Elias desenvolve sentimentos por seu novo vizinho Alexander. Ele logo percebe que está se apaixonando pela primeira vez. As interações com seus amigos e familiares trazem mais perguntas do que respostas. Confuso com seus sentimentos, Elias tenta resolver seu caos interior para provar que merece o coração de Alexander.",-0.5131472059527998,8.578,-0.8751957621595224,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2
240,O Poderoso Chefão: Parte II,en,"Após a máfia matar sua família, o jovem Vito foge da sua cidade na Sicília e vai para a América. Vito luta para manter sua família. Ele mata Black Hand Fanucci, que exigia dos comerciantes uma parte dos seus ganhos. Com a morte de Fanucci, o poderio de Vito cresce, mas sua família é o que mais importa para ele. Agora baseado no Lago Tahoe, Michael planeja fazer incursões em Las Vegas e Havana instalando negócios ligados ao lazer, mas descobre que aliados como Hyman Roth estão tentando matá-lo.",0.14198184632818467,8.572,0.4689455114825321,52,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
389,12 Homens e uma Sentença,en,"Um jovem porto-riquenho é acusado do brutal crime de ter matado o próprio pai. Quando ele vai a julgamento, doze jurados se reúnem para decidir a sentença, levando em conta que o réu deve ser considerado inocente até que se prove o contrário. Onze dos jurados têm plena certeza de que ele é culpado, e votam pela condenação, mas um jurado acha que é melhor investigar mais para que a sentença seja correta. Para isso ele terá que enfrentar diferentes interpretações dos fatos, e a má vontade dos outros jurados, que só querem ir logo para suas casas.",0.11987902901114175,8.571,0.08864580047991,69,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
424,A Lista de Schindler,en,"O alemão Oskar Schindler viu na mão de obra judia uma solução barata e viável para lucrar com negócios durante a guerra. Com sua forte influência dentro do partido nazista, foi fácil conseguir as autorizações e abrir uma fábrica. O que poderia parecer uma atitude de um homem não muito bondoso, transformou-se em um dos maiores casos de amor à vida da História, pois este alemão abdicou de toda sua fortuna para salvar a vida de mais de mil judeus em plena luta contra o extermínio alemão.",0.12347581293150042,8.57,0.8122223502412671,33,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,3
1218925,Chainsaw Man – O Filme: Arco da Reze,ja,"Denji trabalhava como Caçador de Demônios para a yakuza, tentando pagar a dívida que herdou de seus pais, até que um dia, ele é traído e morre. Em seus últimos momentos de consciência, ele forma um pacto com Pochita e essa fusão cria o Homem-Motosserra. Agora, em uma guerra brutal contra demônios, caçadores e inimigos secretos, uma garota misteriosa chamada Reze entrou em seu universo e Denji precisa enfrentar sua batalha mais perigosa até hoje, movido pelo amor em um mundo onde a sobrevivência não conhece regras.",0.06972903213448504,8.547,-0.792038170875973,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4
